Emission Probabilities
P(E_t)=_ | X_t = _) 0.999714593076
P(E_t)=p | X_t = u) 0.000103745201784
P(E_t)=s | X_t = u) 0.000103745201784
P(E_t)=r | X_t = u) 0.000103745201784
P(E_t)=u | X_t = u) 0.767610748003
P(E_t)=t | X_t = u) 0.000103745201784
P(E_t)=w | X_t = u) 0.000103745201784
P(E_t)=v | X_t = u) 0.000103745201784
P(E_t)=y | X_t = u) 0.0645295155099
P(E_t)=x | X_t = u) 0.000103745201784
P(E_t)=z | X_t = u) 0.000103745201784
P(E_t)=_ | X_t = t) 2.19154065308e-05
P(E_t)=a | X_t = t) 2.19154065308e-05
P(E_t)=c | X_t = t) 2.19154065308e-05
P(E_t)=b | X_t = t) 2.19154065308e-05
P(E_t)=e | X_t = t) 2.19154065308e-05
P(E_t)=d | X_t = t) 2.19154065308e-05
P(E_t)=g | X_t = t) 0.0485426254657
P(E_t)=f | X_t = t) 0.0520929213237
P(E_t)=i | X_t = t) 2.19154065308e-05
P(E_t)=h | X_t = t) 2.19154065308e-05
P(E_t)=k | X_t = t) 2.19154065308e-05
P(E_t)=j | X_t = t) 2.19154065308e-05
P(E_t)=m | X_t = t) 2.19154065308e-05
P(E_t)=l | X_t = t) 2.19154065308e-05
P(E_t)=o | X_t = t) 2.19154065308e-05
P(E_t)=n | X_t = t) 2.19154065308e-05
P(E_t)=q | X_t = t) 2.19154065308e-05
P(E_t)=p | X_t = t) 2.19154065308e-05
P(E_t)=s | X_t = t) 2.19154065308e-05
P(E_t)=r | X_t = t) 0.0432171816787
P(E_t)=u | X_t = t) 2.19154065308e-05
P(E_t)=t | X_t = t) 0.811264518957
P(E_t)=w | X_t = t) 2.19154065308e-05
P(E_t)=v | X_t = t) 2.19154065308e-05
P(E_t)=y | X_t = t) 0.0444006136314
P(E_t)=x | X_t = t) 2.19154065308e-05
P(E_t)=z | X_t = t) 2.19154065308e-05
P(E_t)=_ | X_t = w) 0.00016835016835
P(E_t)=a | X_t = w) 0.0410774410774
P(E_t)=c | X_t = w) 0.00016835016835
P(E_t)=b | X_t = w) 0.00016835016835
P(E_t)=e | X_t = w) 0.0683501683502
P(E_t)=d | X_t = w) 0.00016835016835
P(E_t)=g | X_t = w) 0.00016835016835
P(E_t)=f | X_t = w) 0.00016835016835
P(E_t)=i | X_t = w) 0.00016835016835
P(E_t)=h | X_t = w) 0.00016835016835
P(E_t)=k | X_t = w) 0.00016835016835
P(E_t)=j | X_t = w) 0.00016835016835
P(E_t)=m | X_t = w) 0.00016835016835
P(E_t)=l | X_t = w) 0.00016835016835
P(E_t)=o | X_t = w) 0.00016835016835
P(E_t)=n | X_t = w) 0.00016835016835
P(E_t)=q | X_t = w) 0.0638047138047
P(E_t)=p | X_t = w) 0.00016835016835
P(E_t)=s | X_t = w) 0.0274410774411
P(E_t)=r | X_t = w) 0.00016835016835
P(E_t)=u | X_t = w) 0.00016835016835
P(E_t)=t | X_t = w) 0.00016835016835
P(E_t)=w | X_t = w) 0.795622895623
P(E_t)=v | X_t = w) 0.00016835016835
P(E_t)=y | X_t = w) 0.00016835016835
P(E_t)=x | X_t = w) 0.00016835016835
P(E_t)=z | X_t = w) 0.00016835016835
P(E_t)=_ | X_t = v) 0.000154966682163
P(E_t)=a | X_t = v) 0.000154966682163
P(E_t)=c | X_t = v) 0.0545482721215
P(E_t)=b | X_t = v) 0.0461800712847
P(E_t)=e | X_t = v) 0.000154966682163
P(E_t)=d | X_t = v) 0.000154966682163
P(E_t)=g | X_t = v) 0.0754687742135
P(E_t)=f | X_t = v) 0.0629164729583
P(E_t)=i | X_t = v) 0.000154966682163
P(E_t)=h | X_t = v) 0.000154966682163
P(E_t)=k | X_t = v) 0.000154966682163
P(E_t)=j | X_t = v) 0.000154966682163
P(E_t)=m | X_t = v) 0.000154966682163
P(E_t)=l | X_t = v) 0.000154966682163
P(E_t)=o | X_t = v) 0.000154966682163
P(E_t)=n | X_t = v) 0.000154966682163
P(E_t)=q | X_t = v) 0.000154966682163
P(E_t)=p | X_t = v) 0.000154966682163
P(E_t)=s | X_t = v) 0.000154966682163
P(E_t)=r | X_t = v) 0.000154966682163
P(E_t)=u | X_t = v) 0.000154966682163
P(E_t)=t | X_t = v) 0.000154966682163
P(E_t)=w | X_t = v) 0.000154966682163
P(E_t)=v | X_t = v) 0.757477142414
P(E_t)=y | X_t = v) 0.000154966682163
P(E_t)=x | X_t = v) 0.000154966682163
P(E_t)=z | X_t = v) 0.000154966682163
P(E_t)=_ | X_t = y) 9.82414775518e-05
P(E_t)=a | X_t = y) 9.82414775518e-05
P(E_t)=c | X_t = y) 9.82414775518e-05
P(E_t)=b | X_t = y) 9.82414775518e-05
P(E_t)=e | X_t = y) 9.82414775518e-05
P(E_t)=d | X_t = y) 9.82414775518e-05
P(E_t)=g | X_t = y) 0.0478435995677
P(E_t)=f | X_t = y) 9.82414775518e-05
P(E_t)=i | X_t = y) 9.82414775518e-05
P(E_t)=h | X_t = y) 0.0611061990372
P(E_t)=k | X_t = y) 9.82414775518e-05
P(E_t)=j | X_t = y) 9.82414775518e-05
P(E_t)=m | X_t = y) 9.82414775518e-05
P(E_t)=l | X_t = y) 9.82414775518e-05
P(E_t)=o | X_t = y) 9.82414775518e-05
P(E_t)=n | X_t = y) 9.82414775518e-05
P(E_t)=q | X_t = y) 9.82414775518e-05
P(E_t)=p | X_t = y) 9.82414775518e-05
P(E_t)=s | X_t = y) 9.82414775518e-05
P(E_t)=r | X_t = y) 9.82414775518e-05
P(E_t)=u | X_t = y) 0.0345810000982
P(E_t)=t | X_t = y) 0.0478435995677
P(E_t)=w | X_t = y) 9.82414775518e-05
P(E_t)=v | X_t = y) 9.82414775518e-05
P(E_t)=y | X_t = y) 0.806464289223
P(E_t)=x | X_t = y) 9.82414775518e-05
P(E_t)=z | X_t = y) 9.82414775518e-05
P(E_t)=_ | X_t = x) 0.00112233445567
P(E_t)=a | X_t = x) 0.00112233445567
P(E_t)=c | X_t = x) 0.0617283950617
P(E_t)=b | X_t = x) 0.00112233445567
P(E_t)=e | X_t = x) 0.00112233445567
P(E_t)=d | X_t = x) 0.0314253647587
P(E_t)=g | X_t = x) 0.00112233445567
P(E_t)=f | X_t = x) 0.00112233445567
P(E_t)=i | X_t = x) 0.00112233445567
P(E_t)=h | X_t = x) 0.00112233445567
P(E_t)=k | X_t = x) 0.00112233445567
P(E_t)=j | X_t = x) 0.00112233445567
P(E_t)=m | X_t = x) 0.00112233445567
P(E_t)=l | X_t = x) 0.00112233445567
P(E_t)=o | X_t = x) 0.00112233445567
P(E_t)=n | X_t = x) 0.00112233445567
P(E_t)=q | X_t = x) 0.00112233445567
P(E_t)=p | X_t = x) 0.00112233445567
P(E_t)=s | X_t = x) 0.0314253647587
P(E_t)=r | X_t = x) 0.00112233445567
P(E_t)=u | X_t = x) 0.00112233445567
P(E_t)=t | X_t = x) 0.00112233445567
P(E_t)=w | X_t = x) 0.00112233445567
P(E_t)=v | X_t = x) 0.00112233445567
P(E_t)=y | X_t = x) 0.00112233445567
P(E_t)=x | X_t = x) 0.819304152637
P(E_t)=z | X_t = x) 0.0314253647587
P(E_t)=_ | X_t = z) 0.000949667616334
P(E_t)=a | X_t = z) 0.0778727445394
P(E_t)=c | X_t = z) 0.000949667616334
P(E_t)=b | X_t = z) 0.000949667616334
P(E_t)=e | X_t = z) 0.000949667616334
P(E_t)=d | X_t = z) 0.000949667616334
P(E_t)=g | X_t = z) 0.000949667616334
P(E_t)=f | X_t = z) 0.000949667616334
P(E_t)=i | X_t = z) 0.000949667616334
P(E_t)=h | X_t = z) 0.000949667616334
P(E_t)=k | X_t = z) 0.000949667616334
P(E_t)=j | X_t = z) 0.000949667616334
P(E_t)=m | X_t = z) 0.000949667616334
P(E_t)=l | X_t = z) 0.000949667616334
P(E_t)=o | X_t = z) 0.000949667616334
P(E_t)=n | X_t = z) 0.000949667616334
P(E_t)=q | X_t = z) 0.000949667616334
P(E_t)=p | X_t = z) 0.000949667616334
P(E_t)=s | X_t = z) 0.0265906932574
P(E_t)=r | X_t = z) 0.000949667616334
P(E_t)=u | X_t = z) 0.000949667616334
P(E_t)=t | X_t = z) 0.000949667616334
P(E_t)=w | X_t = z) 0.000949667616334
P(E_t)=v | X_t = z) 0.000949667616334
P(E_t)=y | X_t = z) 0.000949667616334
P(E_t)=x | X_t = z) 0.0522317188984
P(E_t)=z | X_t = z) 0.821462488129
